username,tanggal,rating,clean_text,skor_sentimen,label,word_count
arif pik,2025-09-29 17:39:14,3,pluang kenapa buat baca chart eror mulu dah gabisa lancar,-12,negatif,10
galeel gibran,2025-09-29 16:00:14,1,min kapan nih pluang ngadain buat penarikan pake goopay min,1,positif,10
Vian Ananda,2025-09-29 14:04:48,5,tolong pihak peluang kalau tarik saldo tambahin pakek walet dan kurangi pajak nya saya kasih Bintang,-9,negatif,16
MIE ayam kering 21 khas boyolali Cabang Jababeka,2025-09-29 13:54:13,5,aplikasi peluang ini sngt membantu pemula seprrti saya yg baru mengenal saham toup up dan penarikan gambang g ribet pokoknya isthebes,-17,negatif,21
Faisal Irawan,2025-09-29 13:02:33,5,aplikasi crpto paling mantap,-1,negatif,4
Topan Anak Jalanan,2025-09-29 12:42:54,5,min adain perak donk bukan etf nya,-7,negatif,7
Arrie Rey,2025-09-29 12:32:59,5,lebih enak di sini dr pada di sebelah isi dan narik gampang bwat dana urgent cepet nariknya,-12,negatif,17
Arsenal FC,2025-09-29 09:07:06,1,ajg top up dana aja verifikasinya smpe jam ga masuk gimna pelayanannya pdhal sudah sesuai rulenya pindah lain aja,-2,negatif,19
Wawan Wawan,2025-09-29 04:43:46,2,tolong di tambahkan penarikannya menggunanakan e wallet agar lebih mudah buat yang ga punya rekening,-3,negatif,15
Arifin,2025-09-28 07:58:33,5,sukses terus buat pluang jangan sampe mengecewakan penggunanya ya,2,positif,9
Eri Pranata,2025-09-28 07:03:38,1,Pluang ini aplikasi paling ribet dan mahal administrasi dan segalanya saya mau tarik ke rekening yg jelas disana sudah benar nama saya tapi dari sistem anda yg error penulisan nama saya juga salah disana aplikasi sangat tidak recomended sih ini saya tidak akan menggunakan Pluang lagi,-64,negatif,46
Muhammad Sabari,2025-09-28 06:16:06,5,man cari kekayaan,-2,negatif,3
DZAKY AFTA SADIRA,2025-09-28 05:24:59,5,kelihatan bagus soalnya baru mau coba proses pendaftaran cepat,7,positif,9
Jay Rosse,2025-09-28 02:54:34,5,bagus sih minimal tambahin dana ewalet,4,positif,6
Akbar Ramadhan,2025-09-28 01:48:13,5,tolong tambahin fitur top up E walet lain jangan hanya gopay sayang bangat fitur top up E walet nya hanya gopay padahal aplikasinya bagus buat berinvestasi jangka panjang,-3,negatif,28
Richard Hamonangan Pane,2025-09-28 01:28:51,5,semoga menjadi hari yang menyenangkan,-8,negatif,5
benny naijava,2025-09-28 00:40:51,5,aplikasi trading saham us terbaik saat ini,1,positif,7
Syafaat Aja,2025-09-27 12:14:30,5,baru coba blm pernah wd coba bisa menjanjikan gak hasilnya,-2,negatif,10
ZERONE,2025-09-27 02:08:21,1,tidak bisa isi saldo atau top up apakah gangguan karena sebelumnya bisa,-8,negatif,12
Jeruk Jeruk,2025-09-26 20:23:50,5,cepat sekali satset hati sebelum kalian semua menyesal Karena saat ini sudah tiba segera tunggu apa lagi buruan,-19,negatif,18
dudi kamiludin,2025-09-26 18:07:50,5,baru nyoba nanti dichek dulu kedepan nya,-2,negatif,7
Novia Khoirunnisa,2025-09-26 14:21:01,4,kenapa sering buffering itu yang saya rasakan,-7,negatif,7
Reza Ardana,2025-09-26 07:26:56,5,mohon sahslam US nya diperbanyak lagi,-5,negatif,6
