username,tanggal,rating,ulasan,clean_ulasan,skor_sentimen,label
Pengguna Google,2025-09-29 17:39:14,3,pluang kenapa buat baca chart eror mulu dah gabisa lancar,pluang kenapa buat baca chart eror mulu dah gabisa lancar,-1.6666666666666667,negatif
Pengguna Google,2025-09-29 16:00:14,1,min kapan nih pluang ngadain buat penarikan pake goopay min,min kapan nih pluang ngadain buat penarikan pake goopay min,1.0,positif
Pengguna Google,2025-09-29 15:55:33,5,mantap,mantap,5.0,positif
Pengguna Google,2025-09-29 14:04:48,5,tolong pihak peluang kalau tarik saldo tambahin pakek walet dan kurangi pajak nya saya kasih Bintang 5,tolong pihak peluang kalau tarik saldo tambahin pakek walet dan kurangi pajak nya saya kasih bintang,-1.125,negatif
Pengguna Google,2025-09-29 13:54:13,5,aplikasi peluang ini sngt membantu pemula seprrti saya yg baru mengenal saham toup up dan penarikan gambang g ribet pokoknya isthebes,aplikasi peluang ini sngt membantu pemula seprrti saya yg baru mengenal saham toup up dan penarikan gambang g ribet pokoknya isthebes,-2.8333333333333335,negatif
Pengguna Google,2025-09-29 13:02:33,5,aplikasi crpto paling mantap,aplikasi crpto paling mantap,0.5,positif
Pengguna Google,2025-09-29 12:42:54,5,"min, adain perak donk. bukan etf nya.",min adain perak donk bukan etf nya,-3.5,negatif
Pengguna Google,2025-09-29 12:32:59,5,"lebih enak di sini dr pada di sebelah,isi dan narik gampang, bwat dana urgent cepet nariknya.",lebih enak di sini dr pada di sebelah isi dan narik gampang bwat dana urgent cepet nariknya,-1.5,negatif
Pengguna Google,2025-09-29 10:35:05,5,incredible,incredible,0.0,negatif
Pengguna Google,2025-09-29 09:07:06,1,ajg top up dana aja verifikasinya smpe 24jam ga masuk² gimna pelayanannya . pdhal sudah sesuai rulenya . pindah lain aja,ajg top up dana aja verifikasinya smpe jam ga masuk gimna pelayanannya pdhal sudah sesuai rulenya pindah lain aja,0.0,negatif
Pengguna Google,2025-09-29 06:51:39,4,OKEY,okey,0.0,negatif
Pengguna Google,2025-09-29 04:43:46,2,tolong di tambahkan penarikannya menggunanakan e-wallet agar lebih mudah buat yang ga punya rekening,tolong di tambahkan penarikannya menggunanakan e wallet agar lebih mudah buat yang ga punya rekening,-0.8571428571428571,negatif
Pengguna Google,2025-09-28 16:22:17,5,sat set,sat set,0.0,negatif
Pengguna Google,2025-09-28 12:54:03,1,"sering bug, kadang susah kebuka",sering bug kadang susah kebuka,1.0,positif
Pengguna Google,2025-09-28 10:42:21,5,josss,josss,0.0,negatif
Pengguna Google,2025-09-28 07:58:33,5,"sukses terus buat pluang, jangan sampe mengecewakan penggunanya ya",sukses terus buat pluang jangan sampe mengecewakan penggunanya ya,0.4,positif
Pengguna Google,2025-09-28 07:03:38,1,"Pluang ini aplikasi paling ribet dan mahal administrasi dan segalanya, saya mau tarik ke rekening yg jelas disana sudah benar nama saya, tapi dari sistem anda yg error, penulisan nama saya juga salah disana, aplikasi sangat tidak recomended sih ini, saya tidak akan menggunakan Pluang lagi.",pluang ini aplikasi paling ribet dan mahal administrasi dan segalanya saya mau tarik ke rekening yg jelas disana sudah benar nama saya tapi dari sistem anda yg error penulisan nama saya juga salah disana aplikasi sangat tidak recomended sih ini saya tidak akan menggunakan pluang lagi,-2.9047619047619047,negatif
Pengguna Google,2025-09-28 06:16:06,5,man cari kekayaan,man cari kekayaan,-0.6666666666666666,negatif
Pengguna Google,2025-09-28 05:24:59,5,kelihatan bagus soalnya baru mau coba... proses pendaftaran cepat,kelihatan bagus soalnya baru mau coba proses pendaftaran cepat,-0.8571428571428571,negatif
Pengguna Google,2025-09-28 02:54:34,5,bagus sih minimal tambahin dana ewalet,bagus sih minimal tambahin dana ewalet,-1.0,negatif
Pengguna Google,2025-09-28 01:48:13,5,tolong tambahin fitur top up E-walet lain jangan hanya gopay sayang bangat fitur top up E-walet nya hanya gopay padahal aplikasinya bagus buat berinvestasi jangka panjang,tolong tambahin fitur top up e walet lain jangan hanya gopay sayang bangat fitur top up e walet nya hanya gopay padahal aplikasinya bagus buat berinvestasi jangka panjang,-0.5,negatif
Pengguna Google,2025-09-28 01:28:51,5,semoga menjadi hari yang menyenangkan..,semoga menjadi hari yang menyenangkan,-4.0,negatif
Pengguna Google,2025-09-28 01:06:13,5,nice,nice,4.0,positif
Pengguna Google,2025-09-28 00:52:59,5,terbaik,terbaik,5.0,positif
Pengguna Google,2025-09-28 00:40:51,5,aplikasi trading saham us terbaik saat ini,aplikasi trading saham us terbaik saat ini,0.5,positif
Pengguna Google,2025-09-27 19:38:38,5,mantap,mantap,5.0,positif
Pengguna Google,2025-09-27 17:48:56,5,good,good,5.0,positif
Pengguna Google,2025-09-27 14:26:01,5,bagus,bagus,-4.0,negatif
Pengguna Google,2025-09-27 12:14:30,5,baru coba blm pernah wd coba bisa menjanjikan gak hasilnya,baru coba blm pernah wd coba bisa menjanjikan gak hasilnya,-1.0,negatif
Pengguna Google,2025-09-27 04:13:51,5,mantapppp,mantapppp,0.0,negatif
Pengguna Google,2025-09-27 02:08:21,1,"tidak bisa isi saldo atau top up, apakah gangguan? karena sebelumnya bisa",tidak bisa isi saldo atau top up apakah gangguan karena sebelumnya bisa,-1.2,negatif
Pengguna Google,2025-09-26 20:23:50,5,"cepat sekali satset , hati"" sebelum kalian semua menyesal. Karena saat ini sudah tiba segera, tunggu apa lagi buruan.",cepat sekali satset hati sebelum kalian semua menyesal karena saat ini sudah tiba segera tunggu apa lagi buruan,-2.3333333333333335,negatif
Pengguna Google,2025-09-26 18:07:50,5,baru nyoba... nanti dichek dulu kedepan nya,baru nyoba nanti dichek dulu kedepan nya,-2.0,negatif
Pengguna Google,2025-09-26 15:58:09,5,bagus,bagus,-4.0,negatif
Pengguna Google,2025-09-26 14:21:01,4,kenapa sering buffering? itu yang saya rasakan.,kenapa sering buffering itu yang saya rasakan,-1.75,negatif
Pengguna Google,2025-09-26 13:43:22,5,good,good,5.0,positif
Pengguna Google,2025-09-26 11:49:59,5,sangat bagus,sangat bagus,-4.0,negatif
Pengguna Google,2025-09-26 11:43:22,5,GOOD JOOB,good joob,5.0,positif
Pengguna Google,2025-09-26 11:03:27,5,mantap pokoknya,mantap pokoknya,1.0,positif
Pengguna Google,2025-09-26 10:19:45,5,"Semuanya sudah bagus,tapi kalau bisa tolong tambahkan e-wallet lain ketika top up ataupun penarikan,seperti dana atau ovo, Terimakasih 🙏🙏",semuanya sudah bagus tapi kalau bisa tolong tambahkan e wallet lain ketika top up ataupun penarikan seperti dana atau ovo terimakasih,-0.3,negatif
Pengguna Google,2025-09-26 09:58:38,5,bagus,bagus,-4.0,negatif
Pengguna Google,2025-09-26 07:52:49,3,cukup bagus,cukup bagus,-4.5,negatif
Pengguna Google,2025-09-26 07:43:22,5,mudah² cuan,mudah cuan,-1.0,negatif
Pengguna Google,2025-09-26 07:26:56,5,mohon sahslam US-nya diperbanyak lagi,mohon sahslam us nya diperbanyak lagi,-2.5,negatif
Pengguna Google,2025-09-26 06:18:33,5,lumayan,lumayan,-2.0,negatif
Pengguna Google,2025-09-26 06:13:03,1,"cape rugi terus keuangan kacau, udah di rapi rapi tetep aja rugi terus",cape rugi terus keuangan kacau udah di rapi rapi tetep aja rugi terus,-2.8333333333333335,negatif
Pengguna Google,2025-09-26 03:41:27,5,"aplikasinya sudah bagus, cuma saran saya tambahin saham² Indonesia juga supaya kita bisa inves di semua saham dalam 1 aplikasi. soalnya saya inves saham as di sini tapi inves saham indo di tempat lain",aplikasinya sudah bagus cuma saran saya tambahin saham indonesia juga supaya kita bisa inves di semua saham dalam aplikasi soalnya saya inves saham as di sini tapi inves saham indo di tempat lain,-2.5714285714285716,negatif
Pengguna Google,2025-09-26 03:10:39,5,bismillah semoga jadi titik balik,bismillah semoga jadi titik balik,-1.0,negatif
Pengguna Google,2025-09-26 02:05:29,5,bagus,bagus,-4.0,negatif
Pengguna Google,2025-09-25 19:46:39,1,gajelas bgt nih apk nya masa baru mau daftar suruh masukin pin salah mulu,gajelas bgt nih apk nya masa baru mau daftar suruh masukin pin salah mulu,-2.2,negatif
Pengguna Google,2025-09-25 15:54:06,5,sangat bagus dan membantu,sangat bagus dan membantu,-4.0,negatif
Pengguna Google,2025-09-25 14:29:56,5,Fee Murah,fee murah,-2.0,negatif
Pengguna Google,2025-09-25 14:21:42,5,baik saja,baik saja,-2.0,negatif
Pengguna Google,2025-09-25 12:52:06,3,mudah bgt sih buat lokal udah bagus bgt,mudah bgt sih buat lokal udah bagus bgt,-1.3333333333333333,negatif
Pengguna Google,2025-09-25 12:06:29,5,saya pemula,saya pemula,-3.0,negatif
Pengguna Google,2025-09-25 12:05:04,5,memulai investasi,memulai investasi,0.0,negatif
Pengguna Google,2025-09-25 06:06:02,5,"baik , cepat dan mudah",baik cepat dan mudah,-1.6666666666666667,negatif
Pengguna Google,2025-09-25 00:08:11,5,keren mantaap proses cepat,keren mantaap proses cepat,-1.0,negatif
Pengguna Google,2025-09-24 20:04:28,5,"Cukup mudah dipahami, lumayan lengkap saham dan cryptonya. GUNT012350",cukup mudah dipahami lumayan lengkap saham dan cryptonya gunt,-2.75,negatif
Pengguna Google,2025-09-24 19:49:36,5,sangat mudah,sangat mudah,-1.0,negatif
Pengguna Google,2025-09-24 18:53:03,3,kadang-kadang tidak bisa dibuka,kadang kadang tidak bisa dibuka,0.3333333333333333,positif
Pengguna Google,2025-09-24 18:39:06,5,good,good,5.0,positif
Pengguna Google,2025-09-24 17:37:38,5,mencari keberuntungan,mencari keberuntungan,-2.0,negatif
Pengguna Google,2025-09-24 14:07:13,5,Mudah dan simpel,mudah dan simpel,1.0,positif
Pengguna Google,2025-09-24 12:45:38,5,sangat baik membantu,sangat baik membantu,-2.5,negatif
Pengguna Google,2025-09-24 11:15:03,5,oke,oke,2.0,positif
Pengguna Google,2025-09-24 09:17:04,5,mantap banget,mantap banget,3.0,positif
Pengguna Google,2025-09-24 09:06:56,5,mantap,mantap,5.0,positif
Pengguna Google,2025-09-24 05:43:08,5,sangat membantu dalam hal investasi,sangat membantu dalam hal investasi,-0.5,negatif
Pengguna Google,2025-09-24 04:42:09,5,proses nya cepat dan mudah,proses nya cepat dan mudah,-1.0,negatif
Pengguna Google,2025-09-24 03:59:20,5,Bersama Pluang mendapatkan penghasilan,bersama pluang mendapatkan penghasilan,3.0,positif
Pengguna Google,2025-09-24 02:59:24,2,knapa yahh pajak nya mahal?,knapa yahh pajak nya mahal,-1.0,negatif
Pengguna Google,2025-09-24 01:36:12,5,"1 aplikasi bisa invest dan trading berbagai macam saham 4 in one, klo d tambah saham lokal jd 5 in one, lbih mantap sih, harga jg akurat, semoga kedepan ny bisa invest dan trading d saham lokal Indonesia, transaksi jg cepat g pke lama, semoga kecepatan layanan transaksi aplikasi ny trs di pertahankan 👍🏻",aplikasi bisa invest dan trading berbagai macam saham in one klo d tambah saham lokal jd in one lbih mantap sih harga jg akurat semoga kedepan ny bisa invest dan trading d saham lokal indonesia transaksi jg cepat g pke lama semoga kecepatan layanan transaksi aplikasi ny trs di pertahankan,1.1538461538461537,positif
Pengguna Google,2025-09-24 00:42:13,5,pluang apk terpercaya dari pada apk indodax scam..,pluang apk terpercaya dari pada apk indodax scam,-3.0,negatif
Pengguna Google,2025-09-23 18:24:04,2,"semuanya udah bagus dan stabil tapi ada satu keluhan, setiap mau masuk pasti selalu lama loading nya tolong di benerin dong min, saya kasih bintang rendah biar dibaca kalo udh di benerin saya jadiin bintang 5",semuanya udah bagus dan stabil tapi ada satu keluhan setiap mau masuk pasti selalu lama loading nya tolong di benerin dong min saya kasih bintang rendah biar dibaca kalo udh di benerin saya jadiin bintang,-2.0625,negatif
Pengguna Google,2025-09-23 14:41:49,5,Rekomen...,rekomen,0.0,negatif
Pengguna Google,2025-09-23 13:26:18,5,ok,ok,4.0,positif
Pengguna Google,2025-09-23 13:22:28,5,mudah untuk dipahami,mudah untuk dipahami,-1.0,negatif
Pengguna Google,2025-09-23 12:18:05,5,aku percaya pluang aplikasi investasi yg mencarikan sulusi bagi orang2 yg kurang mampu seperti saya dan saya percaya pada pluang semoga suatu saat nanti pluang ngasih bonus pada saya,aku percaya pluang aplikasi investasi yg mencarikan sulusi bagi orang yg kurang mampu seperti saya dan saya percaya pada pluang semoga suatu saat nanti pluang ngasih bonus pada saya,-2.1875,negatif
Pengguna Google,2025-09-23 03:58:14,5,nice❤️,nice,4.0,positif
Pengguna Google,2025-09-23 03:24:31,5,bagus belajar investasi,bagus belajar investasi,-0.5,negatif
Pengguna Google,2025-09-22 17:13:54,3,terbaik,terbaik,5.0,positif
Pengguna Google,2025-09-22 15:21:14,4,"masih tidak bisa topup melalui QRIS, topup e-wallet selain Go Pay.. sediakan Dana, shopeepay dll gitu.",masih tidak bisa topup melalui qris topup e wallet selain go pay sediakan dana shopeepay dll gitu,0.6666666666666666,positif
Pengguna Google,2025-09-22 14:55:43,5,apk yang bagus,apk yang bagus,-4.5,negatif
Pengguna Google,2025-09-22 14:21:04,4,saya mau coba invest emas melalui aplikasi peluang tapi saat mau top up dana tidak ada jadi saya batal,saya mau coba invest emas melalui aplikasi peluang tapi saat mau top up dana tidak ada jadi saya batal,-1.2307692307692308,negatif
Pengguna Google,2025-09-22 14:06:39,5,sangat Cocok bagi yang mau main Trad,sangat cocok bagi yang mau main trad,-3.0,negatif
Pengguna Google,2025-09-22 13:51:57,5,good exchange,good exchange,5.0,positif
Pengguna Google,2025-09-22 13:22:23,4,ni pluang napa ko tuop nya ke permata mulu orang mau ke bca,ni pluang napa ko tuop nya ke permata mulu orang mau ke bca,-0.25,negatif
Pengguna Google,2025-09-22 10:41:28,5,tolong di perbanyak aplikasi e wallet,tolong di perbanyak aplikasi e wallet,-3.0,negatif
Pengguna Google,2025-09-22 10:27:22,4,lumayan,lumayan,-2.0,negatif
Pengguna Google,2025-09-22 09:32:33,5,nice,nice,4.0,positif
Pengguna Google,2025-09-22 08:39:48,5,"pluang bertanggung jawab atas komplain, semoga tetap bertanggungjawab dan semoga sll memberikan yg terbaik untuk penggunanya.",pluang bertanggung jawab atas komplain semoga tetap bertanggungjawab dan semoga sll memberikan yg terbaik untuk penggunanya,-0.25,negatif
Pengguna Google,2025-09-22 06:41:41,5,"sumpah min lu pada jangan pada bubar yak. udah enak w make ni app, aset udah lumayan. pls aja jangan ampe bubar",sumpah min lu pada jangan pada bubar yak udah enak w make ni app aset udah lumayan pls aja jangan ampe bubar,-2.5555555555555554,negatif
Pengguna Google,2025-09-22 06:13:59,5,sangat bagus dan terpercaya,sangat bagus dan terpercaya,-4.0,negatif
Pengguna Google,2025-09-22 04:56:23,5,ok,ok,4.0,positif
Pengguna Google,2025-09-22 04:34:55,5,"overall bagus, tolong tambahin coin2 nya yak 😁",overall bagus tolong tambahin coin nya yak,-3.0,negatif
Pengguna Google,2025-09-22 02:20:54,5,"mengapa tidak mencoba, sedangkan mencoba tidak mengapa",mengapa tidak mencoba sedangkan mencoba tidak mengapa,-5.0,negatif
Pengguna Google,2025-09-22 01:25:42,5,baguss,baguss,0.0,negatif
Pengguna Google,2025-09-22 00:41:14,1,saldo future nggak bisa di pindah ke akun spot padahal sinyal bagus. sama terbatas,saldo future nggak bisa di pindah ke akun spot padahal sinyal bagus sama terbatas,-0.3333333333333333,negatif
Pengguna Google,2025-09-21 21:07:03,5,baru pemula,baru pemula,0.0,negatif
Pengguna Google,2025-09-21 15:51:16,5,Pendaftaran yang mudah,pendaftaran yang mudah,-1.0,negatif
Pengguna Google,2025-09-21 14:50:15,5,sangat bagus dan mudah untuk digunakan,sangat bagus dan mudah untuk digunakan,-2.5,negatif
Pengguna Google,2025-09-21 14:41:34,5,min luncurkan coin aster,min luncurkan coin aster,0.0,negatif
Pengguna Google,2025-09-21 13:46:26,3,maaf kak apakah VA bank permata pulang sedang bermasalah kah? krna saya sebelum aman aman aja dan tgl 17 sep 2025 saya top via VA permata plung selalu ada warning dari mbanking saya kalo ada kendala apakah dari bank permata nya sedang bermasalah atau VA pluang nya ya kak mohon info nya terima kasih,maaf kak apakah va bank permata pulang sedang bermasalah kah krna saya sebelum aman aman aja dan tgl sep saya top via va permata plung selalu ada warning dari mbanking saya kalo ada kendala apakah dari bank permata nya sedang bermasalah atau va pluang nya ya kak mohon info nya terima kasih,-0.5,negatif
Pengguna Google,2025-09-21 13:05:12,5,NoT Bad For aLL,not bad for all,-4.0,negatif
Pengguna Google,2025-09-21 12:58:51,4,aplikasi yg bgus untuk investasi,aplikasi yg bgus untuk investasi,-4.0,negatif
Pengguna Google,2025-09-21 11:57:31,1,"saya izin berhenti dan cukup di sini saja pajak nya naik terus percuma menurut ku investasi di sini pajak nya mencekik pasti ulah aparat aparat pajak pajak semua di pajakin bisa sampe 15% pajak nya busett fir,aun lu wkkwkw",saya izin berhenti dan cukup di sini saja pajak nya naik terus percuma menurut ku investasi di sini pajak nya mencekik pasti ulah aparat aparat pajak pajak semua di pajakin bisa sampe pajak nya busett fir aun lu wkkwkw,-2.3157894736842106,negatif
Pengguna Google,2025-09-21 08:43:57,5,enak enek,enak enek,-4.0,negatif
Pengguna Google,2025-09-21 08:32:14,1,wd nya lama,wd nya lama,-4.0,negatif
Pengguna Google,2025-09-21 06:56:31,5,oke,oke,2.0,positif
Pengguna Google,2025-09-21 05:56:21,1,bagus,bagus,-4.0,negatif
